algoritmo,tasa_inf,desviacion_general,agr,tiempo
age_sf,64,0.19866637560175843,0.26164499538188296,8106
age_un,48,0.20197714547584847,0.24901430212412898,6438
agg_sf,84,0.21683350271193755,0.299492941173351,7968
agg_un,47,0.22859110957592016,0.2740538007296976,6380
am_10_01,50,0.19115359548814567,0.23956840944411645,6190
am_10_01_mejores,39,0.21122544544717314,0.248815809128435,10067
am_10_1,35,0.21962556372457712,0.2540669964168328,7811
bl,36,0.2181235516180431,0.2527617924971116,424
es,62,0.18808280988785053,0.24909334779984618,3803
greedy,4,0.3786916260085417,0.3826277897447995,2
