tasa_inf,desviacion_general,agr,tiempo
256,0.11013756437661679,0.1458344696484208,8754
254,0.11830175714506477,0.15371978034443284,8899
297,0.11678899455393338,0.15820298231067478,8687
223,0.11840380647950914,0.1494991575561197,9674
244,0.11477999409255285,0.14880360692974107,9583
